scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Qwen3-8B-4bit,constraint_followed,0.5700000000000001,0.1927083333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.58,0.1875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.59,0.18229166666666669
mlx-community/Qwen3-8B-4bit,constraint_followed,0.6,0.17708333333333334
mlx-community/Qwen3-8B-4bit,constraint_followed,0.61,0.171875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.62,0.16666666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.63,0.16145833333333331
mlx-community/Qwen3-8B-4bit,constraint_followed,0.64,0.15625
mlx-community/Qwen3-8B-4bit,constraint_followed,0.65,0.15104166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.66,0.14583333333333331
mlx-community/Qwen3-8B-4bit,constraint_followed,0.67,0.14062499999999997
mlx-community/Qwen3-8B-4bit,constraint_followed,0.68,0.13541666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.6900000000000001,0.1302083333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.7000000000000001,0.12499999999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.71,0.11979166666666669
mlx-community/Qwen3-8B-4bit,constraint_followed,0.72,0.11458333333333334
mlx-community/Qwen3-8B-4bit,constraint_followed,0.73,0.10937500000000001
mlx-community/Qwen3-8B-4bit,constraint_followed,0.74,0.10416666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.75,0.09895833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.76,0.09375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.77,0.08854166666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.78,0.08333333333333331
mlx-community/Qwen3-8B-4bit,constraint_followed,0.79,0.07812499999999997
mlx-community/Qwen3-8B-4bit,constraint_followed,0.8,0.07291666666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.81,0.0677083333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.8200000000000001,0.062499999999999965
mlx-community/Qwen3-8B-4bit,constraint_followed,0.8300000000000001,0.05729166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.84,0.052083333333333356
mlx-community/Qwen3-8B-4bit,constraint_followed,0.85,0.046875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.86,0.04166666666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.87,0.03645833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.88,0.031249999999999997
mlx-community/Qwen3-8B-4bit,constraint_followed,0.89,0.02604166666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.9,0.02083333333333332
mlx-community/Qwen3-8B-4bit,constraint_followed,0.91,0.015624999999999983
mlx-community/Qwen3-8B-4bit,constraint_followed,0.92,0.010416666666666647
mlx-community/Qwen3-8B-4bit,constraint_followed,0.93,0.005208333333333304
mlx-community/Qwen3-8B-4bit,constraint_followed,0.9400000000000001,-3.122502256758253e-17
mlx-community/Qwen3-8B-4bit,constraint_followed,0.9500000000000001,-0.00520833333333337
mlx-community/Qwen3-8B-4bit,constraint_followed,0.96,-0.01041666666666665
mlx-community/Qwen3-8B-4bit,constraint_followed,0.97,-0.015624999999999986
mlx-community/Qwen3-8B-4bit,constraint_followed,0.98,-0.020833333333333325
mlx-community/Qwen3-8B-4bit,constraint_followed,0.99,-0.026041666666666664
mlx-community/Qwen3-8B-4bit,constraint_followed,1.0,-0.03125
pooled_models,constraint_followed,0.0,0.28125
pooled_models,constraint_followed,0.01,0.27828125
pooled_models,constraint_followed,0.02,0.2753125
pooled_models,constraint_followed,0.03,0.27234375
pooled_models,constraint_followed,0.04,0.26937500000000003
pooled_models,constraint_followed,0.05,0.26640624999999996
pooled_models,constraint_followed,0.06,0.2634375
pooled_models,constraint_followed,0.07,0.26046874999999997
pooled_models,constraint_followed,0.08,0.25750000000000006
pooled_models,constraint_followed,0.09,0.25453125
pooled_models,constraint_followed,0.1,0.25156249999999997
pooled_models,constraint_followed,0.11,0.24859375
pooled_models,constraint_followed,0.12,0.245625
pooled_models,constraint_followed,0.13,0.24265625
pooled_models,constraint_followed,0.14,0.2396875
pooled_models,constraint_followed,0.15,0.23671874999999998
pooled_models,constraint_followed,0.16,0.23374999999999999
pooled_models,constraint_followed,0.17,0.23078125
pooled_models,constraint_followed,0.18,0.22781250000000003
pooled_models,constraint_followed,0.19,0.22484375000000004
pooled_models,constraint_followed,0.2,0.22187500000000002
pooled_models,constraint_followed,0.21,0.21890625
pooled_models,constraint_followed,0.22,0.2159375
pooled_models,constraint_followed,0.23,0.21296874999999998
pooled_models,constraint_followed,0.24,0.21
pooled_models,constraint_followed,0.25,0.20703125
pooled_models,constraint_followed,0.26,0.2040625
pooled_models,constraint_followed,0.27,0.20109375000000002
pooled_models,constraint_followed,0.28,0.198125
pooled_models,constraint_followed,0.29,0.19515625
pooled_models,constraint_followed,0.3,0.19218749999999998
pooled_models,constraint_followed,0.31,0.18921874999999996
pooled_models,constraint_followed,0.32,0.18624999999999997
pooled_models,constraint_followed,0.33,0.18328124999999998
pooled_models,constraint_followed,0.34,0.1803125
pooled_models,constraint_followed,0.35000000000000003,0.17734375
pooled_models,constraint_followed,0.36,0.174375
pooled_models,constraint_followed,0.37,0.17140625
pooled_models,constraint_followed,0.38,0.1684375
pooled_models,constraint_followed,0.39,0.16546875
