scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9,0.005208333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.91,0.004687499999999999
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.92,0.004166666666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.93,0.003645833333333331
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9400000000000001,0.003124999999999997
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9500000000000001,0.0026041666666666635
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.96,0.0020833333333333355
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.97,0.0015625000000000014
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.98,0.0010416666666666677
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.99,0.0005208333333333339
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,1.0,0.0
mlx-community/Qwen3-8B-4bit,constraint_followed,0.0,0.08333333333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.01,0.08229166666666665
mlx-community/Qwen3-8B-4bit,constraint_followed,0.02,0.08125
mlx-community/Qwen3-8B-4bit,constraint_followed,0.03,0.08020833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.04,0.07916666666666665
mlx-community/Qwen3-8B-4bit,constraint_followed,0.05,0.078125
mlx-community/Qwen3-8B-4bit,constraint_followed,0.06,0.07708333333333332
mlx-community/Qwen3-8B-4bit,constraint_followed,0.07,0.07604166666666665
mlx-community/Qwen3-8B-4bit,constraint_followed,0.08,0.075
mlx-community/Qwen3-8B-4bit,constraint_followed,0.09,0.07395833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.1,0.07291666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.11,0.071875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.12,0.07083333333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.13,0.06979166666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.14,0.06874999999999999
mlx-community/Qwen3-8B-4bit,constraint_followed,0.15,0.06770833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.16,0.06666666666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.17,0.06562499999999999
mlx-community/Qwen3-8B-4bit,constraint_followed,0.18,0.06458333333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.19,0.06354166666666668
mlx-community/Qwen3-8B-4bit,constraint_followed,0.2,0.0625
mlx-community/Qwen3-8B-4bit,constraint_followed,0.21,0.06145833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.22,0.06041666666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.23,0.059375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.24,0.05833333333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.25,0.057291666666666664
mlx-community/Qwen3-8B-4bit,constraint_followed,0.26,0.056249999999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.27,0.05520833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.28,0.05416666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.29,0.05312499999999999
mlx-community/Qwen3-8B-4bit,constraint_followed,0.3,0.05208333333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.31,0.051041666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.32,0.04999999999999999
