scenario,institution,ablation,seed,cluster_spread,bills_processed,bills_passed,passage_rate,avg_representation_distance,representation_inequality,perfect_representation_rate
fragmented,parliamentary,no_discipline,39,0.15,30,10,0.3333333333333333,1.086579352967319,0.423297961442392,0.047619047619047616
fragmented,parliamentary,no_discipline,40,0.15,30,7,0.23333333333333334,1.124575914635509,0.43071951101496614,0.0
fragmented,parliamentary,no_discipline,41,0.15,30,8,0.26666666666666666,1.1357560813567598,0.46505951015203034,0.0
fragmented,parliamentary,no_discipline,42,0.15,30,11,0.36666666666666664,1.1375641752771202,0.46608931616241706,0.0
fragmented,parliamentary,no_discipline,43,0.15,30,11,0.36666666666666664,1.151885080312309,0.4657866678993521,0.047619047619047616
fragmented,parliamentary,no_discipline,44,0.15,30,14,0.4666666666666667,1.1283053361923676,0.45630870721518896,0.047619047619047616
fragmented,parliamentary,no_discipline,45,0.15,30,13,0.43333333333333335,1.1348960842208788,0.4777346252168094,0.047619047619047616
fragmented,parliamentary,no_discipline,46,0.15,30,9,0.3,1.13495983133684,0.5384820298642785,0.09523809523809523
fragmented,parliamentary,no_discipline,47,0.15,30,13,0.43333333333333335,1.1096054757966485,0.5139339493522936,0.047619047619047616
fragmented,parliamentary,no_discipline,48,0.15,30,9,0.3,1.1541102645335726,0.4347812497585988,0.047619047619047616
fragmented,parliamentary,no_discipline,49,0.15,30,12,0.4,1.1980021011255906,0.4230890495938569,0.0
fragmented,parliamentary,no_discipline,50,0.15,30,13,0.43333333333333335,1.1225652558512127,0.4606157271737067,0.047619047619047616
fragmented,parliamentary,no_discipline,51,0.15,30,9,0.3,1.1314770624478807,0.41632294716980955,0.047619047619047616
fragmented,parliamentary,no_discipline,52,0.15,30,13,0.43333333333333335,1.1306082351229532,0.49456548824806923,0.047619047619047616
fragmented,parliamentary,no_discipline,53,0.15,30,16,0.5333333333333333,1.1658324455441686,0.46239052352516974,0.0
fragmented,parliamentary,no_discipline,54,0.15,30,12,0.4,1.0830927200407774,0.478524344226278,0.09523809523809523
fragmented,parliamentary,no_discipline,55,0.15,30,12,0.4,1.1237829852642645,0.4579981081983824,0.0
fragmented,parliamentary,no_discipline,56,0.15,30,7,0.23333333333333334,1.165050953029348,0.4726580449640769,0.0
fragmented,parliamentary,no_discipline,57,0.15,30,12,0.4,1.1816654109490823,0.4914432467142002,0.09523809523809523
fragmented,parliamentary,no_discipline,58,0.15,30,12,0.4,1.1071334527034615,0.4881769684951846,0.047619047619047616
fragmented,parliamentary,no_discipline,59,0.15,30,5,0.16666666666666666,1.2017673331222478,0.3914855675229393,0.0
fragmented,parliamentary,no_discipline,60,0.15,30,9,0.3,1.1644315833908143,0.41933422505758117,0.0
fragmented,parliamentary,no_discipline,61,0.15,30,10,0.3333333333333333,1.1434013232369171,0.4773162201254576,0.0
fragmented,parliamentary,no_discipline,62,0.15,30,9,0.3,1.1160209008973374,0.4976335136291733,0.09523809523809523
fragmented,parliamentary,no_discipline,63,0.15,30,6,0.2,1.1062016370176475,0.43835388908759354,0.047619047619047616
fragmented,parliamentary,no_discipline,64,0.15,30,8,0.26666666666666666,1.1934233512929862,0.5269753256502625,0.047619047619047616
fragmented,parliamentary,no_discipline,65,0.15,30,7,0.23333333333333334,1.1405767848972743,0.5125792780086701,0.047619047619047616
fragmented,parliamentary,no_discipline,66,0.15,30,11,0.36666666666666664,1.114052900765532,0.460055132013307,0.047619047619047616
fragmented,parliamentary,no_discipline,67,0.15,30,14,0.4666666666666667,1.1643501939993472,0.49154189377765317,0.047619047619047616
fragmented,parliamentary,no_discipline,68,0.15,30,11,0.36666666666666664,1.2054475774638842,0.49189690019525156,0.047619047619047616
fragmented,parliamentary,no_discipline,69,0.15,30,14,0.4666666666666667,1.1223487143799227,0.4555105246543032,0.047619047619047616
fragmented,parliamentary,no_discipline,70,0.15,30,10,0.3333333333333333,1.1074961197142774,0.43787168540392374,0.047619047619047616
fragmented,parliamentary,no_discipline,71,0.15,30,7,0.23333333333333334,1.1079450742384078,0.49288356433027963,0.14285714285714285
fragmented,parliamentary,no_discipline,72,0.15,30,10,0.3333333333333333,1.160643478408765,0.4784386816561265,0.047619047619047616
fragmented,parliamentary,no_discipline,73,0.15,30,15,0.5,1.1359079649854853,0.476251401858099,0.0
fragmented,parliamentary,no_discipline,74,0.15,30,5,0.16666666666666666,1.1546630439595864,0.5423641599816678,0.09523809523809523
fragmented,parliamentary,no_discipline,75,0.15,30,14,0.4666666666666667,1.1272530019164462,0.45346150353796083,0.047619047619047616
fragmented,parliamentary,no_discipline,76,0.15,30,14,0.4666666666666667,1.0957983971751628,0.4423402096752361,0.09523809523809523
fragmented,parliamentary,no_discipline,77,0.15,30,12,0.4,1.1349907827044186,0.40747160756576745,0.0
fragmented,parliamentary,no_discipline,78,0.15,30,10,0.3333333333333333,1.1339263864073799,0.4920729364784239,0.09523809523809523
fragmented,parliamentary,no_discipline,79,0.15,30,13,0.43333333333333335,1.129034869307759,0.46122131952262474,0.047619047619047616
fragmented,parliamentary,no_discipline,80,0.15,30,11,0.36666666666666664,1.0900446822742593,0.4720749229645121,0.09523809523809523
fragmented,parliamentary,no_discipline,81,0.15,30,7,0.23333333333333334,1.104417225769704,0.5112578102313018,0.14285714285714285
fragmented,parliamentary,no_discipline,82,0.15,30,10,0.3333333333333333,1.1250940212711507,0.45752185905380344,0.047619047619047616
fragmented,parliamentary,no_discipline,83,0.15,30,13,0.43333333333333335,1.14466871987627,0.4979765119399051,0.09523809523809523
fragmented,parliamentary,no_discipline,84,0.15,30,9,0.3,1.1226093909239818,0.4904452383351682,0.047619047619047616
fragmented,parliamentary,no_discipline,85,0.15,30,11,0.36666666666666664,1.1213644623014158,0.4858286772381526,0.09523809523809523
fragmented,parliamentary,no_discipline,86,0.15,30,13,0.43333333333333335,1.0903558316600357,0.49632955374910814,0.14285714285714285
fragmented,parliamentary,no_discipline,87,0.15,30,12,0.4,1.1057829617555197,0.478988077180219,0.047619047619047616
fragmented,parliamentary,no_discipline,88,0.15,30,12,0.4,1.1536300517708833,0.4575798104638372,0.0
fragmented,parliamentary,no_discipline,89,0.15,30,5,0.16666666666666666,1.1620368507690917,0.49978186254201246,0.047619047619047616
fragmented,parliamentary,no_discipline,90,0.15,30,13,0.43333333333333335,1.1513256748293217,0.47574960363270463,0.047619047619047616
fragmented,parliamentary,no_discipline,91,0.15,30,13,0.43333333333333335,1.0900171327629888,0.49072045618902055,0.09523809523809523
fragmented,parliamentary,no_discipline,92,0.15,30,9,0.3,1.18843810894724,0.441196673176021,0.047619047619047616
fragmented,parliamentary,no_discipline,93,0.15,30,11,0.36666666666666664,1.149848012833941,0.48504907360981697,0.09523809523809523
fragmented,parliamentary,no_discipline,94,0.15,30,12,0.4,1.1521430652092572,0.39957074815973603,0.0
fragmented,parliamentary,no_discipline,95,0.15,30,9,0.3,1.1640874818151188,0.525689557726233,0.047619047619047616
fragmented,parliamentary,no_discipline,96,0.15,30,15,0.5,1.1191052874597651,0.42099532547911295,0.0
fragmented,parliamentary,no_discipline,97,0.15,30,9,0.3,1.1576086955926188,0.37792519923208484,0.047619047619047616
fragmented,parliamentary,no_discipline,98,0.15,30,11,0.36666666666666664,1.0899448813674366,0.4154176384922976,0.047619047619047616
fragmented,parliamentary,no_discipline,99,0.15,30,5,0.16666666666666666,1.1598190744012937,0.5096212855951799,0.047619047619047616
fragmented,republican,baseline,0,0.15,30,2,0.06666666666666667,1.188626528816218,0.445810582060432,0.0
fragmented,republican,baseline,1,0.15,30,2,0.06666666666666667,1.1517805239356416,0.4918924906360509,0.09523809523809523
fragmented,republican,baseline,2,0.15,30,6,0.2,1.1205261587844935,0.44353508884316717,0.0
fragmented,republican,baseline,3,0.15,30,1,0.03333333333333333,1.134484205023067,0.4543184498720117,0.0
fragmented,republican,baseline,4,0.15,30,4,0.13333333333333333,1.0985127615634338,0.5098981041259865,0.047619047619047616
fragmented,republican,baseline,5,0.15,30,4,0.13333333333333333,1.1420634935191905,0.4269189067153513,0.0
